"YearEnd","LocationDesc","GeoLocation","StratificationCategory1","Stratification1","variable","NPAW1_1 Obesity among adults aged >= 18 years","NPAW1_2 Obesity among high school students","NPAW10_0 No leisure-time physical activity among adults aged >= 18 years","NPAW11_1 Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years","NPAW11_2 Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years","NPAW11_3 Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years","NPAW11_4 Meeting aerobic physical activity guidelines among high school students","NPAW12_1 Participation in daily school physical education classes among high school students","NPAW12_2 Soda consumption among high school students","NPAW13_1 Secondary schools that allow community-sponsored use of physical activity facilities by youth outside of normal school hours","NPAW13_2 Secondary schools that allow students to purchase soda or fruit drinks","NPAW13_3 Secondary schools that allow students to purchase sports drinks","NPAW13_4 Secondary schools that offer less healthy foods as competitive foods","NPAW15_0 Infants breastfed at 6 months","NPAW16_0 Receiving formula supplementation within the first 2 days of life among breastfed infants","NPAW17_0 Mean maternity practices in infant nutrition care (mPINC) score","NPAW18_0 Live births occurring at Baby Friendly Facilities","NPAW2_1 Overweight or obesity among adults aged >= 18 years","NPAW2_2 Overweight or obesity among high school students","NPAW2_3 Overweight or obesity among women aged 18-44 years","NPAW20_0 Television viewing among high school students","NPAW21_0 Computer use among high school students","NPAW3_1 Healthy weight among adults aged >= 18 years","NPAW3_2 Healthy weight among high school students","NPAW4_1 Median daily frequency of fruit consumption among high school students","NPAW4_2 Median daily frequency of fruit consumption among adults aged >= 18 years","NPAW5_1 Median daily frequency of vegetable consumption among high school students","NPAW5_2 Median daily frequency of vegetable consumption among adults aged >= 18 years","NPAW6_0 Census tracts with healthier food retailers within ½ mile of boundary","NPAW7_1 Farmers markets that accept Women and Infant Children (WIC) farmers market nutrition program coupons","NPAW7_2 Farmers markets that accept Supplemental Nutrition Assistance Program (SNAP) benefits","NPAW8_0 Number of farmers markets per 100,000 residents"
2010,"Alabama","(32.84057112200048, -86.63186076199969)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Alaska","(64.84507995700051, -147.72205903599973)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Arizona","(34.865970280000454, -111.76381127699972)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Arkansas","(34.74865012400045, -92.27449074299966)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"California","(37.63864012300047, -120.99999953799971)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Colorado","(38.843840757000464, -106.13361092099967)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Connecticut","(41.56266102000046, -72.64984095199964)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Delaware","(39.008830667000495, -75.57774116799965)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"District of Columbia","(38.907192, -77.036871)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Florida","(28.932040377000476, -81.92896053899966)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Georgia","(32.83968109300048, -83.62758034599966)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Hawaii","(21.304850435000446, -157.85774940299973)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.9,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Idaho","(43.682630005000476, -114.3637300419997)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Illinois","(40.48501028300046, -88.99771017799969)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Indiana","(39.766910452000445, -86.14996019399968)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Iowa","(42.46940091300047, -93.81649055599968)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kansas","(38.34774030000045, -98.20078122699965)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kentucky","(37.645970271000465, -84.77497104799966)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Louisiana","(31.31266064400046, -92.44568007099969)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Maine","(45.254228894000505, -68.98503133599962)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Maryland","(39.29058096400047, -76.60926011099963)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Massachusetts","(42.27687047000046, -72.08269067499964)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Michigan","(44.6613195430005, -84.71439026999968)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Minnesota","(46.35564873600049, -94.79420050299967)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Mississippi","(32.745510099000455, -89.53803082499968)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Missouri","(38.635790776000476, -92.56630005299968)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Montana","(47.06652897200047, -109.42442064499971)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Nebraska","(41.6410409880005, -99.36572062299967)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Nevada","(39.493240390000494, -117.07184056399967)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"New Hampshire","(43.65595011300047, -71.50036091999965)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"New Jersey","(40.13057004800049, -74.27369128799967)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,35.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"New Mexico","(34.52088095200048, -106.24058098499967)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"New York","(42.82700103200045, -75.54397042699964)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"North Carolina","(35.466220975000454, -79.15925046299964)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"North Dakota","(47.47531977900047, -100.11842104899966)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Ohio","(40.06021014100048, -82.40426005599966)","Overall","Overall","DataValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
